 ra        dec       radius SpT   DM    PMra  PMdec    SPM    mem    memp   mem1
 52.13121  48.94093  0.3075 160   6.19  23.10 -27.20   0.50  99.80   0.05   0.07
 52.15825  49.38764  0.3777  66   6.61  20.20 -26.30   0.90  96.51   1.06   1.63
 52.22357  49.07030  0.3141  66   5.71  25.00 -29.20   0.90  99.39   0.15   0.20
 52.28442  48.18078  1.0034 197   5.79  22.30 -27.60   1.20  99.63   0.08   0.10
 52.35400  48.96252  0.4261 193   6.02  19.50 -27.10   0.90  99.25   0.17   0.22
 52.44526  49.00951  0.4687 198   4.89  21.10 -27.20   0.80  91.64   4.48  11.13
 52.44592  49.15377  0.4566 115   5.91  26.90 -31.90   1.00  69.49  13.86  22.56
 52.47201  48.11457  1.1130 197   6.16  16.30 -22.90   1.20  10.01  11.97   6.45
 52.81108  49.70623  0.9057  94   6.40  20.40 -23.80   0.80  94.55   1.30   1.74
 52.87567  49.90204  1.0704 109   6.29  19.10 -24.60   1.70  92.67   1.89   2.51
 52.93568  49.53683  0.8780 160   6.05  19.90 -25.30   1.10  98.79   0.25   0.32
 52.97476  48.73515  0.8920  21   6.03  18.50 -27.30   0.90  96.32   1.00   1.50
 52.98250  48.58381  0.9722  75   6.28  24.50 -29.30   0.80  98.01   0.44   0.57
 52.99462  49.87016  1.1028 163   5.68  19.80 -24.70   1.20  97.66   0.50   0.68
 53.48982  48.15899  1.4984 169   5.80  19.20 -19.90   0.60   6.90   9.30   4.60
 53.55400  48.61748  1.2886  31   6.41  21.20 -26.90   0.60  97.92   0.47   0.64
 53.58994  48.65999  1.2942 105   6.35  21.30 -27.90   0.60  98.12   0.40   0.52
 52.14445  50.26690  1.1749 201   5.67  21.20 -24.50   0.80  98.78   0.24   0.32
 52.50842  51.91395  2.8352 201   6.36  29.60 -24.40   0.60   1.76   2.56   1.14
 52.54806  51.34827  2.2860 132   6.47 -13.70 -13.80   0.60   0.00   0.00   0.00
 52.69171  51.02994  2.0032 108   6.48  11.40 -19.30   0.60   0.00   0.00   0.00
 53.47655  50.29664  1.6220 151   6.25  19.20 -26.50   1.00  93.38   1.45   1.87
 53.49554  50.88224  2.0890 190   5.75  20.30 -26.10   0.70  96.92   0.62   0.82
 53.71996  51.71762  2.8847 197   6.21   2.10 -17.10   0.60   0.00   0.00   0.00
 51.99657  53.69988  4.5825 208   5.71  16.20 -17.50   0.80   0.00   0.00   0.00
 52.35283  53.35286  4.2496 218   4.57  12.40 -26.00   0.90   0.00   0.00   0.00
 52.57116  52.90182  3.8169 212   5.81  29.90 -35.10   0.80   0.00   0.00   0.00
 52.66968  53.66659  4.5826 175   5.59  26.70 -36.70   0.60   0.00   0.00   0.00
 52.79713  53.83187  4.7566 181   6.37  13.30 -17.20   0.60   0.00   0.00   0.00
 53.89124  53.90182  4.9634 172   6.33   4.60 -21.70   1.80   0.00   0.00   0.00
 54.33651  45.97265  3.5986 197   6.65  17.60 -14.90   1.00   0.00   0.00   0.00
 54.38663  45.05403  4.4439 199   4.19   2.40 -30.40   1.00   0.00   0.00   0.00
 54.57855  44.80176  4.7292  88   5.10  26.50 -33.30   0.90   0.02   0.05   0.02
 54.59454  44.80056  4.7348  48   6.09  27.20 -32.80   0.70   0.18   0.38   0.13
 54.66627  45.20991  4.3832 163   6.01  14.90 -27.70   0.60   0.10   0.22   0.07
 54.98153  45.39155  4.3248 168   5.66   6.10 -16.00   0.70   0.00   0.00   0.00
 55.67067  45.51511  4.4775 201   6.41  23.00 -27.70   0.60  53.88  10.76  11.75
 54.16466  47.74011  2.1143 220   6.44  33.20 -28.20   1.50   0.00   0.01   0.00
 54.32326  47.34826  2.4649 163   5.62  27.80 -24.10   0.60  42.15  13.83  14.48
 54.56493  47.57698  2.4247  28   6.62  20.90 -27.30   0.60  75.47   6.36   8.91
 55.02514  46.82646  3.1724 215   6.50  14.20 -15.10   0.90   0.00   0.00   0.00
 55.08675  46.69490  3.2984 177   6.35   9.10 -15.90   0.60   0.00   0.00   0.00
 55.84255  47.24376  3.3108 176   6.59  19.00 -17.90   0.90   0.00   0.01   0.00
 54.10941  48.65649  1.6191 153   6.32   5.10 -19.50   0.90   0.00   0.00   0.00
 54.13265  48.65467  1.6343 183   6.05  19.80 -26.80   0.90  97.42   0.51   0.65
 54.22947  48.82856  1.6533 195   5.88  21.10 -28.00   1.00  98.70   0.25   0.32
 54.50571  48.16917  2.0539 185   6.27 -12.70 -18.10   0.90   0.00   0.00   0.00
 54.64622  48.59350  1.9768 106   6.20  21.10 -26.10   0.90  97.55   0.50   0.67
 55.15118  51.78095  3.4301 169   6.41  13.20 -17.70   0.80   0.00   0.00   0.00
 55.42065  51.27655  3.1886 176   5.59  20.70 -28.60   0.60  83.48   4.04   5.59
 55.66846  50.41869  2.8441 205   6.39  10.90 -14.50   0.70   0.00   0.00   0.00
 54.04641  53.63857  4.7398 205   6.26   8.00 -13.00   1.50   0.00   0.00   0.00
 54.28341  53.98322  5.1111 113   5.96  25.30 -22.00   0.60   5.10   4.12   2.61
 54.47369  53.74923  4.9299 153   6.40  14.00 -17.80   0.60   0.00   0.00   0.00
 56.31555  44.74134  5.3730 205   5.57 -13.30 -17.10   0.90   0.00   0.00   0.00
 56.39010  45.35399  4.9081 160   4.20  61.60 -17.60   0.60   0.00   0.00   0.00
 56.47186  45.59990  4.7544  42   6.27  23.60 -28.20   1.00  53.42  10.78  12.02
 56.50548  45.79717  4.6220 213   5.15  21.40 -17.90   0.80   0.00   0.01   0.00
 57.01763  45.35494  5.1905 149   4.44 -14.60 -14.90   0.70   0.00   0.00   0.00
 57.27633  44.21752  6.1944 196   4.88  34.10 -19.10   0.60   0.00   0.00   0.00
 57.63656  45.49070  5.3920 183   6.50   2.60 -15.90   0.60   0.00   0.00   0.00
 57.67813  44.39920  6.2233 215   5.26   6.40 -22.80   0.60   0.00   0.00   0.00
 56.50163  46.32400  4.2453 156   5.77  21.10 -18.10   1.30   0.03   0.07   0.02
 56.69215  46.49836  4.2281 162   5.83   3.00 -29.00   0.80   0.00   0.00   0.00
 56.82185  47.38565  3.7953 180   6.35   6.90 -18.00   0.60   0.00   0.00   0.00
 57.25416  46.80269  4.3520 110   5.44  20.50 -26.50   0.60  53.28  10.81  12.41
 57.42045  46.25542  4.7703 192   5.37  44.30 -22.20   0.60   0.00   0.00   0.00
 57.49010  46.72684  4.5284 207   4.24   2.00 -15.20   0.60   0.00   0.00   0.00
 57.65079  46.26124  4.8915 108   6.23  10.10 -12.90   0.70   0.00   0.00   0.00
 57.67306  46.32807  4.8630 202   5.48   5.60 -20.30   0.60   0.00   0.00   0.00
 57.78323  46.27558  4.9553 165   5.26  29.00 -30.30   0.80   0.09   0.16   0.06
 56.67686  48.08688  3.4171 211   6.09  19.30 -25.30   0.80  66.45   7.44   9.29
 57.26040  49.41741  3.6071 211   6.25  24.30 -38.00   0.60   0.00   0.00   0.00
 57.65491  48.67442  3.9064 205   5.65  23.90 -23.90   0.90  69.73   7.24   9.35
 57.90639  49.78484  4.0558 176   4.75  13.60 -18.30   1.00   0.00   0.00   0.00
 57.91559  48.37602  4.1317 185   5.75  21.00 -28.10   0.80  75.36   6.44   8.51
 56.17110  50.54269  3.1863  50   6.06  11.50 -27.00   0.60   0.00   0.00   0.00
 56.47813  50.41930  3.3179 151   6.22  18.70 -31.10   1.50   8.23   6.98   4.27
 56.93467  50.61282  3.6591 213   6.19  11.00 -11.50   0.80   0.00   0.00   0.00
 57.13356  50.04717  3.6105 192   6.11  19.00 -28.60   0.70  47.02  10.42  11.54
 57.46678  51.47567  4.3438 197   5.99   5.80 -14.40   0.90   0.00   0.00   0.00
 57.56133  50.62090  4.0336 172   6.52  12.00 -22.90   0.90   0.00   0.00   0.00
 56.48849  52.39719  4.4394 202   4.92  11.10 -42.20   0.60   0.00   0.00   0.00
 56.63427  52.44626  4.5368 206   5.45  27.40 -41.10   0.60   0.00   0.00   0.00
 57.19568  53.96594  5.9084 164   5.92   7.30 -21.40   0.80   0.00   0.00   0.00
 57.84150  52.50438  5.1222 135   5.76  10.20 -13.10   0.80   0.00   0.00   0.00
 44.15085  45.59133  6.2365 304   5.92  19.70  -4.40   0.90   0.00   0.00   0.00
